OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
1;1;Experto 1;9,9;8,71;7,18;6,69;6,27;5,49;5,21;5,25;5,65;5,42;6,39;6,26;9,18;9,44;26,91;31,48;36,4;38,73;1;Cuadrado
2;4;Experto 1;9,71;10,59;6,72;7,04;7,23;6,39;5,29;5,59;6,76;7,33;7,16;7,04;10,04;9,91;29,24;29,97;33,22;38,51;2;Ovalado
3;5;Experto 1;9,79;10,86;7,48;7,43;7,18;6,27;5,54;5,61;6,45;7,27;7,08;6,19;10,12;9,39;28,99;28,67;35,78;35,81;2;Ovalado
4;6;Experto 1;9,47;10,38;7,42;7,13;7,5;6,34;5,75;5,58;6,28;7,05;7,12;6,95;10,36;9,79;29,13;31,43;36,69;38,13;2;Ovalado
5;7;Experto 1;10,31;10,41;5,77;5,92;6,85;5,12;5,01;5,03;5,56;5,54;5,66;5,97;9,75;9,94;27,58;30,24;31,85;35,5;2;Cuadrado
6;8;Experto 1;8,86;10,45;6,73;7,37;7,37;6,66;5,42;5,54;6,89;6,34;6,76;6,43;10,3;8,96;28,39;29,23;32,78;34,94;2;Ovalado
7;9;Experto 1;10,67;9,55;7,6;6,76;6,12;5,89;5,57;5,49;6,03;6,04;6,68;6,51;9,69;8,76;26,82;25,09;30,9;33,61;2;Triangular
8;10;Experto 1;9,47;10,7;6,47;7,26;6,39;5,59;5;5,03;5,82;6,64;6,44;6,59;10,81;9,89;28,17;31,7;35,82;40,05;2;Ovalado
9;12;Experto 1;10,37;9,1;7,67;6,71;6,09;6,21;5,25;5,34;5,88;6,3;6,48;6,22;9,14;9,67;29,81;30,03;30,79;35,12;1;Cuadrado
10;13;Experto 1;9,99;10,75;6,52;7,05;6,34;6,3;5,33;5,33;5,88;6,48;7,3;7;10,99;9,95;28,11;28,99;33,74;35,94;2;Ovalado
11;14;Experto 1;9,01;10,73;6,61;7,27;7,04;6,15;5,85;5,63;6,29;6,47;7,24;6,88;10,72;9,01;27,31;32,56;32,15;36,04;2;Ovalado
12;15;Experto 1;10,31;10,71;8,03;7,49;6,41;5,76;5,39;5,1;5,62;6,58;7,69;7,15;10,69;10,36;29;26,01;27,17;31,79;2;Cuadrado
13;16;Experto 1;10,53;10,85;7,17;6,69;6,9;5,86;5,53;5,46;5,51;6,88;6,52;6,65;10,63;10,78;24,59;27,36;31,87;35,58;2;Ovalado
14;17;Experto 1;8,92;10,72;6,12;5,7;6,69;5,81;5,02;5,12;5,37;6,09;6,43;5,83;9,46;9,18;25,74;27,45;29,37;35,84;2;Cuadrado
15;18;Experto 1;10,91;10,91;7,22;7,52;7,03;6,75;5,74;5,79;6,31;6,93;7,18;7,46;11,97;11,21;33,47;34,86;39,61;43,25;2;Ovalado
16;19;Experto 1;9,37;10,35;6,65;6,8;6,53;5,83;5,74;5,01;5,91;6,44;7,1;7,29;10,12;8,94;25,62;26,39;31,2;33,6;2;Ovalado
17;20;Experto 1;10,88;10,92;7,33;7,23;7,23;6,83;5,54;5,71;6,88;7,42;7,68;7,13;10,93;9,38;30,53;31,14;35,28;37,49;2;Ovalado
18;21;Experto 1;9,63;10,51;6,86;7,31;7,13;6,4;5,33;5,4;6,21;7,06;7,08;6,38;10,16;10,37;27,58;28,7;31,47;34,84;2;Cuadrado
19;23;Experto 1;9,17;9,12;6;6,03;6,3;5,53;5,08;4,97;5,52;6,13;5,85;5,93;9,35;8,64;26,97;29,52;33,94;37,42;2;Ovalado
20;25;Experto 1;9,12;10,15;6,31;7,57;6,89;6,47;5,49;5,33;6,94;6,52;6,68;6,59;10,74;9,58;32,32;32,03;37,1;38,24;2;Ovalado
21;26;Experto 1;10,27;9,28;6,82;7,4;6,74;6,38;5,49;6,36;7,45;7,79;7,48;7,23;10,79;10,36;27,04;29,47;32,28;33,96;2;Cuadrado
22;27;Experto 1;9,42;10,3;6,47;7,07;6,82;6,29;5,89;5,9;6,14;7,3;7,24;6,88;10,63;10,14;25,45;25,81;30;35,18;2;Cuadrado
23;28;Experto 1;9,67;10,96;7,45;7,84;8,36;6,74;5,93;5,9;7,22;7,49;7,66;7,49;10,94;10,94;24,2;25,84;32,7;39,1;3;Triangular
24;29;Experto 1;10,16;10,65;7,62;7,62;7,05;6,34;5,96;6,04;6,49;6,53;7,95;7,48;10,42;9,89;31,23;30,68;33,53;36,29;2;Cuadrado
25;30;Experto 1;10,61;10,77;7,14;7,18;6,92;6,22;5,29;5,5;6,13;7,18;7,52;6,89;10,26;10,84;28,49;27,37;31,29;35,75;2;Cuadrado
26;31;Experto 1;9,71;10,37;6,61;6,47;6,91;5,96;5,08;5,15;5,51;6,61;7,74;6,93;10,64;9,67;30,86;31,63;38,3;41,98;2;Ovalado
27;32;Experto 1;9,65;10,24;6,63;7,01;6,57;5,79;5,12;5,06;5,75;6,44;6,59;6,31;9,24;9,56;28,98;27,24;29,8;36,54;1;Cuadrado
28;33;Experto 1;9,48;10,59;6,23;6,86;6,87;5,45;5,81;6,14;6,24;6,77;6,69;6,14;10,09;9,25;24,01;27,53;30,06;34,32;1;Cuadrado
29;34;Experto 1;9,41;10,47;6,97;6,86;7,78;5,96;5,4;5,4;5,9;6,7;7,02;7,15;10,67;9,55;23,3;27,97;32,24;34,45;1;Cuadrado
30;36;Experto 1;9,3;10,22;6,23;6,77;6,21;5,62;5,52;5,32;5,62;6,1;6,54;6,12;10,22;9,42;29,1;31,97;36,37;40,29;2;Ovalado
31;38;Experto 1;10,33;10,59;7,15;7,47;7,59;5,79;5,79;5,55;6,65;7,15;6,87;7,06;10,32;10,4;28,55;29,27;31,73;36,34;2;Cuadrado
32;39;Experto 1;9,08;10,38;6,09;6,54;6,54;6,62;5,75;5,35;6,4;6,67;6,57;6,12;10,99;9,32;26,06;28,68;31,55;36,41;2;Cuadrado
33;41;Experto 1;10,4;10,39;7,28;7,32;6,81;6,01;5,62;5,18;6,08;7,5;7,59;7,3;10,43;10,1;27,23;32,8;38,75;43,68;2;Ovalado
34;42;Experto 1;9,72;10,99;6,22;6,79;7,15;6,33;5,85;5,66;6,22;7,21;7,33;6,8;10,93;10,02;31,68;34,77;37,8;38,81;2;Ovalado
35;43;Experto 1;9,22;9,98;6,41;6,18;6,45;5,56;5,1;5,08;5,44;6,21;7,01;6,02;9,3;9,73;24,24;26,79;28,91;32,14;1;Cuadrado
36;44;Experto 1;9,56;10,51;6,87;6,4;6,61;5,65;5,02;5,26;5,79;6,23;6,41;6,37;10,23;9,73;29,43;32,21;36,22;39,66;2;Ovalado
37;45;Experto 1;10,9;10,08;7,13;7,79;7,52;5,78;5,19;5,11;6,03;7,08;7,77;7,97;10,24;10,4;27,99;28,9;33,37;36,92;1;Cuadrado
